사업명,사업연도,시장명
청년상인 창업지원,2015,구로시장
청년상인 창업지원,2015,인현시장
청년상인 창업지원,2015,부산데파트상가
청년상인 창업지원,2015,동대구시장
청년상인 창업지원,2015,1913송정역시장
청년상인 창업지원,2015,무등시장
청년상인 창업지원,2015,용현시장
청년상인 창업지원,2015,동인천중앙시장
청년상인 창업지원,2015,부평지하로타리상가
청년상인 창업지원,2015,유천시장
청년상인 창업지원,2015,태평전통시장
청년상인 창업지원,2015,의정부제일시장
청년상인 창업지원,2015,원주 중앙시장
청년상인 창업지원,2015,제천중앙시장
청년상인 창업지원,2015,부여시장
청년상인 창업지원,2015,신중앙시장
청년상인 창업지원,2015,경산 하양꿈바우시장
청년상인 창업지원,2015,경주중앙시장
청년상인 창업지원,2015,구미 선산봉황시장
청년상인 창업지원,2015,창원 부림시장
청년상인 창업지원,2016,뚝도시장
청년상인 창업지원,2016,대명여울빛거리시장
청년상인 창업지원,2016,길음시장
청년상인 창업지원,2016,국제시장
청년상인 창업지원,2016,광안상가시장
청년상인 창업지원,2016,신평리시장
청년상인 창업지원,2016,두류종합시장
청년상인 창업지원,2016,강남시장
청년상인 창업지원,2016,국제중앙시장
청년상인 창업지원,2016,용인중앙시장
청년상인 창업지원,2016,동쪽바다중앙시장
청년상인 창업지원,2016,속초관광수산시장
청년상인 창업지원,2016,육림고개상점가
청년상인 창업지원,2016,간성시장
청년상인 창업지원,2016,북부시장
청년상인 창업지원,2016,화지중앙시장
청년상인 창업지원,2016,천안명동대흥로상점가
청년상인 창업지원,2016,정남진장흥토요시장
청년상인 창업지원,2016,안동 중앙신시장
청년상인 창업지원,2016,신영주번개시장
청년상인 창업지원,2016,진주중앙시장
청년상인 창업지원,2017,명일전통시장
청년상인 창업지원,2017,수유시장
청년상인 창업지원,2017,뚝도시장
청년상인 창업지원,2017,대림시장
청년상인 창업지원,2017,남대문시장
청년상인 창업지원,2017,용호삼성시장
청년상인 창업지원,2017,서부시장
청년상인 창업지원,2017,과천새서울프라자
청년상인 창업지원,2017,금호시장
청년상인 창업지원,2017,속초관광수산시장
청년상인 창업지원,2017,평화시장
청년상인 창업지원,2017,황금시장
청년상인 창업지원,2017,양산남부시장
청년상인 창업지원,2017,회성종합시장
청년몰 조성,2016,이대앞스타트업상점가
청년몰 조성,2016,강화중앙시장
청년몰 조성,2016,중앙메가프라자
청년몰 조성,2016,영동시장
청년몰 조성,2016,통복시장
청년몰 조성,2016,원주중앙시장
청년몰 조성,2016,제천중앙시장
청년몰 조성,2016,관아골상가
청년몰 조성,2016,천안명동패션상점가
청년몰 조성,2016,군산공설시장
청년몰 조성,2016,서부시장상점가
청년몰 조성,2016,북부상가시장
청년몰 조성,2016,선산종합시장
청년몰 조성,2016,진주중앙지하도상가
청년몰 조성,2017,국제시장
청년몰 조성,2017,서면시장
청년몰 조성,2017,현풍백년도깨비시장
청년몰 조성,2017,산격종합시장
청년몰 조성,2017,신포시장
청년몰 조성,2017,정선아리랑시장
청년몰 조성,2017,육림고개상점가
청년몰 조성,2017,금산시장
청년몰 조성,2017,여수중앙시장
청년몰 조성,2017,문경중앙시장
청년몰 조성,2017,안동중앙신시장
청년몰 조성,2017,진주중앙시장
청년몰 조성,2018,경동시장
청년몰 조성,2018,삼척중앙시장
청년몰 조성,2018,사북시장
청년몰 조성,2018,김해동상시장
청년몰 조성,2018,진안고원시장
청년몰 조성,2018,완주삼례시장
청년몰 조성,2018,제주중앙로상점가
청년몰 조성,2018,설악로데오거리 상점가
청년몰 조성,2018,신정평화시장
청년몰 조성,2019,남문시장
청년몰 조성,2019,의정부제일시장
청년몰 조성,2019,김제전통시장
청년몰 조성,2019,대구약령시장
청년몰 조성,2019,신안코아전통시장
청년몰 조성,2019,제주동문공설시장
청년몰 활성화·확장 사업,2018,1913송정역시장
청년몰 활성화·확장 사업,2018,육림고개상점가
청년몰 활성화·확장 사업,2018,서면시장
청년몰 활성화·확장 사업,2018,진주중앙지하도상가
청년몰 활성화·확장 사업,2018,원주중앙시장
청년몰 활성화·확장 사업,2018,천안명동대흥로상점가
청년몰 활성화·확장 사업,2018,영동시장
청년몰 활성화·확장 사업,2018,중앙메가프라자
청년몰 활성화·확장 사업,2018,군산공설시장
청년몰 활성화·확장 사업,2018,양산남부시장
청년몰 활성화·확장 사업,2018,정선아리랑시장
청년몰 활성화·확장 사업,2018,산격종합시장
청년몰 활성화·확장 사업,2018,금산시장
청년몰 활성화·확장 사업,2018,여수중앙시장
청년몰 활성화·확장 사업,2018,문경중앙시장
청년몰 활성화·확장 사업,2018,개항누리길상점가
청년몰 활성화·확장 사업,2019,뚝도시장
